,0
0,Unnamed: 0
1,TICKER
2,CAPEI
3,bm
4,evm
5,pe_op_basic
6,pe_op_dil
7,pe_exi
8,pe_inc
9,ps
10,pcf
11,dpr
12,npm
13,opmbd
14,opmad
15,gpm
16,ptpm
17,cfm
18,roa
19,roe
20,roce
21,efftax
22,aftret_eq
23,aftret_invcapx
24,aftret_equity
25,pretret_noa
26,pretret_earnat
27,GProf
28,equity_invcap
29,debt_invcap
30,totdebt_invcap
31,capital_ratio
32,int_debt
33,int_totdebt
34,cash_lt
35,invt_act
36,rect_act
37,debt_at
38,debt_ebitda
39,short_debt
40,curr_debt
41,lt_debt
42,profit_lct
43,ocf_lct
44,cash_debt
45,fcf_ocf
46,lt_ppent
47,dltt_be
48,debt_assets
49,debt_capital
50,de_ratio
51,intcov
52,intcov_ratio
53,cash_ratio
54,quick_ratio
55,curr_ratio
56,cash_conversion
57,inv_turn
58,at_turn
59,rect_turn
60,pay_turn
61,sale_invcap
62,sale_equity
63,sale_nwc
64,rd_sale
65,adv_sale
66,staff_sale
67,accrual
68,ptb
69,PEG_trailing
70,divyield
71,COMNAM
72,SHRCD
73,EXCHCD
74,SICCD
75,PRC
76,VOL
77,RET
78,SHROUT
79,BIDLO
80,ASKHI
81,OPENPRC
82,vwretd
83,ewretd
84,sprtrn
85,TICKER_encoded
86,SHRCD_encoded
87,EXCHCD_encoded
88,SICCD_encoded
89,market_cap
90,RET_calc
91,RET_interp
92,TB3MS
93,T10Y2Y
94,BAA10Y
95,BM
96,ME
97,Size
98,Momentum
99,ShortTermReversal
100,LME
101,LTurnover
102,DollarVolume
103,spread
104,Volatility
105,Beta
106,BetaSquared
107,r2_1
108,r12_2
109,r12_7
110,r36_13
111,52_week_high
112,Rel_to_high
113,SUV
114,3_month_high
115,Rel_to_3month_high
116,1_month_high
117,Rel_to_1month_high
118,Idio_vol
